kw,kw2,kw3,n
herbaceous plants,us plant,s,9
herbaceous species,s specie,s,15
herbaceous species traits,es trait,s,4
herbaceous vegetation,egetatio,,72
herbaceousness,ceousnes,s,1
herbage consumption,nsumptio,,25
herbaria,herbari,,1
herbarium,herbariu,,1
herbarium collections,llection,s,8
herbarium records,m record,s,2
herbarium specimen, specime,,1
herbicide,herbicid,,1
herbicide resistance,esistanc,,97
herbivore abundance,abundanc,,78
herbivore activity, activit,,57
herbivore behaviour,behaviou,,43
herbivore coexistence,existenc,,40
herbivore communities,mmunitie,s,153
herbivore community,communit,,120
herbivore control,e contro,,6
herbivore damage,re damag,,3
herbivore defence,e defenc,,5
herbivore defense hypothesis,ypothesi,s,335
herbivore densities,densitie,s,9
herbivore density,e densit,,11
herbivore digestive strategy, strateg,,107
herbivore dispersion,ispersio,,26
herbivore distribution,tributio,,232
herbivore diversity,diversit,,255
herbivore dynamics, dynamic,s,330
herbivore escape,re escap,,2
herbivore exclosures,xclosure,s,5
herbivore exclusion,exclusio,,20
herbivore facilitation,ilitatio,,31
herbivore fecundity,fecundit,,23
herbivore feeding preference,referenc,,57
herbivore fitness,e fitnes,s,15
herbivore foraging, foragin,,49
herbivore grazing,e grazin,,5
herbivore growth,re growt,,2
herbivore growth and survival, surviva,,85
herbivore guilds,re guild,s,1
herbivore habitat selection,selectio,,298
herbivore host choice,st choic,,3
herbivore host range,ost rang,,3
herbivore host range evolution,evolutio,,298
herbivore impacts,e impact,s,11
herbivore insect assemblages,semblage,s,31
herbivore insects,e insect,s,2
herbivore interactions,eraction,s,323
herbivore limitation,imitatio,,105
herbivore load,vore loa,,1
herbivore networks, network,s,61
herbivore nutrition,nutritio,,20
herbivore offense,e offens,,1
herbivore performance,rformanc,,60
herbivore population dynamics, dynamic,s,330
herbivore population suppression,ppressio,,21
herbivore preference,referenc,,57
herbivore preference and performance : c-3 vs. c-4,3 vs. c-,,1
herbivore pressure, pressur,,21
herbivore refuge,re refug,,1
herbivore removal,e remova,,3
herbivore resistance,esistanc,,97
herbivore search behavior, behavio,,157
herbivore specialization,alizatio,,101
herbivore suppression,ppressio,,21
herbivore tolerance,toleranc,,58
herbivore-herbivore interactions,eraction,s,323
herbivore-induced damage on plants,on plant,s,3
herbivore-induced plant response, respons,,110
herbivore-induced plant volatiles,volatile,s,9
herbivore-induced specific response, respons,,110
herbivore-induced stress,ed stres,s,4
herbivore-mediated selection,selectio,,298
herbivore-plant dynamics, dynamic,s,330
herbivore-plant interactions,eraction,s,323
"herbivore-plant interactions, mathematical models",al model,s,19
herbivore-plant-soil interactions,eraction,s,323
herbivore-related traits,ed trait,s,12
"herbivore, insect","e, insec",,1
"herbivore, specialist vs. generalist",eneralis,,8
herbivores,erbivore,s,33
herbivores of different sizes,ent size,s,1
"herbivores, affected by host-plant variation",variatio,,240
herbivores: human impact,an impac,,2
herbivorous anatidae, anatida,,1
herbivorous arthropods,rthropod,s,18
herbivorous beetles,s beetle,s,6
herbivorous consumer, consume,,2
herbivorous diversification,ificatio,,174
herbivorous fish,rous fis,,4
herbivorous fishes,us fishe,s,3
herbivorous guilds,us guild,s,1
herbivorous insect populations,pulation,s,93
herbivorous insects,s insect,s,6
herbivorous invertebrates,rtebrate,s,40
herbivorous lizard,us lizar,,1
herbivorous mites,ous mite,s,2
herbivory,herbivor,,74
herbivory (3z)-hex-3-enyl acetate,l acetat,,2
herbivory and maternal effects,l effect,s,42
herbivory and plant species richness, richnes,s,85
herbivory gradient, gradien,,111
herbivory invasion, invasio,,38
herbivory network,y networ,,6
herbivory rates,ory rate,s,2
herbivory threshold,threshol,,31
herbivory timing,ry timin,,3
herbivory uncertainty principle,principl,,20
herbivory: insect plant interactions,eraction,s,323
herbivoryl plant-herbivore interactions,eraction,s,323
herbs,herb,s,1
herd composition,mpositio,,129
herd immunity, immunit,,23
herding,herdin,,1
heriades,heriade,s,1
herichthys minckleyi,minckley,,1
heritabilities,abilitie,s,16
heritability,itabilit,,25
heritability and individual consistency,nsistenc,,8
heritability estimates,estimate,s,16
heritability of fitness,f fitnes,s,5
heritability of parasite resistance,esistanc,,97
heritability of resistance,esistanc,,97
heritability of seed size,seed siz,,3
heritability of sex ratio,sex rati,,20
heritability of sex tendency, tendenc,,2
heritable plasticity,lasticit,,75
heritable symbiont, symbion,,6
heritable variation,variatio,,240
heritiera fomes,era fome,s,1
heritisotidae,tisotida,,1
herkogamy,herkogam,,2
hermaphrodism,aphrodis,,1
hermaphrodite,aphrodit,,4
hermaphroditic angiosperms,giosperm,s,4
hermaphroditic plants,ic plant,s,9
hermaphroditism,hroditis,,6
hermit crab,rmit cra,,1
hermit warbler,t warble,,1
hernmtypic,ernmtypi,,1
heron,hero,,1
herpailurus yagouaroundi,ouaround,,1
herpestes,herpeste,s,1
herpestes auropunctatus,punctatu,s,4
herpestes ichneumon,ichneumo,,1
herpestes javanicus,javanicu,s,3
herpestidae,rpestida,,1
herpetofauna,petofaun,,4
herpetology,rpetolog,,1
herpetotheres,etothere,s,1
herring,herrin,,1
herring gull,ring gul,,1
hesperia comma,ria comm,,1
hesperiidae,speriida,,1
hesperioidea,perioide,,1
hesperodiaptomus shoshone, shoshon,,1
hesperolinon californicum,ifornicu,,9
hesperostipa comata,pa comat,,1
heterandria formosa,a formos,,3
heterandrium,erandriu,,1
hetero-specifics,specific,s,1
heterobasidion annosum,n annosu,,1
heteroblasty,eroblast,,1
heterocarpy,terocarp,,1
heterocentrotus,centrotu,s,3
heterocephalus glaber,us glabe,,1
heterochiasmy,rochiasm,,1
heterochromatin,chromati,,2
heterochronic evolution,evolutio,,298
heterochrony,erochron,,1
heteroclinic cycle,nic cycl,,1
heterodermia,erodermi,,1
heterodichogamy,dichogam,,2
heterodimer,terodime,,1
heteroecy,heteroec,,1
heterogamety,erogamet,,2
heterogeneity,rogeneit,,73
heterogeneity diversity relationship,ationshi,,86
heterogeneity hypothesis,ypothesi,s,335
heterogeneity in susceptibility,ptibilit,,14
heterogeneity models,ty model,s,6
"heterogeneity, soil nutrients",nutrient,s,28
heterogeneous,rogeneou,s,1
heterogeneous defection probability,obabilit,,34
heterogeneous divergence,ivergenc,,55
heterogeneous environment,vironmen,,73
heterogeneous food web models,eb model,s,3
heterogeneous habitat,s habita,,2
heterogeneous its,neous it,s,1
heterogeneous landscape,landscap,,42
heterogeneous networks, network,s,61
heterogeneous phage subpopulation,opulatio,,62
heterogeneous populations,pulation,s,93
heterogeneous response, respons,,110
heterogeneous selection,selectio,,298
heterogeneous soil,eous soi,,1
heterogenous mixing,us mixin,,1
heterokaryon,erokaryo,,1
heterokaryon incompatibility,atibilit,,42
heterokaryosis,okaryosi,s,1
heterologous amplification,ificatio,,174
heterologous microarray,icroarra,,4
heteromastus,eromastu,s,1
heteromorphic life cycle,ife cycl,,8
heteromorphic sex chromosomes,romosome,s,8
heteromorphism,omorphis,,7
heteromyid,eteromyi,,1
heteromyid rodents,d rodent,s,2
heteromyidae,eromyida,,1
heteromyopia,eromyopi,,1
heteromys desmarestianus,restianu,s,1
heteronomous hyperparasitoid,arasitoi,,17
heteronotia binoei,ia binoe,,1
heteropatry,teropatr,,1
heterophil to lymphocyte ratio,yte rati,,1
heterophragma quadriloculare,ilocular,,1
heterophylla,erophyll,,6
heteroplasmy,eroplasm,,1
heteroploid,teroploi,,1
heteroploid reproduction,roductio,,212
heteropsis,eteropsi,s,1
heteroptera,teropter,,2
heteropterys sp.,terys sp,,1
heteropterys-palmeri,s-palmer,,1
heterorhabditis and steinernema,einernem,,2
heterorhabditis bacteriophora,eriophor,,1
heterorhabditis marelatus,marelatu,s,1
heteroscedasticity,dasticit,,2
heterosigma akashiwo, akashiw,,1
heterospecific,ospecifi,,1
heterospecific aggression,ggressio,,9
heterospecific association,sociatio,,34
heterospecific attraction,ttractio,,15
heterospecific eavesdropping,sdroppin,,3
heterospecific group,fic grou,,2
heterospecific grouping, groupin,,3
heterospecific information,formatio,,69
heterospecific interactions,eraction,s,323
heterospecific mate choice,te choic,,15
heterospecific mating,ic matin,,3
heterospecific plant-soil feedback, feedbac,,36
heterospecific pollen,ic polle,,2
heterospecific pollen transfer, transfe,,32
heterospecific recognition,cognitio,,35
heterosphecia tawonoides,awonoide,s,1
heterospilus prosopidis,rosopidi,s,1
heterostyly,terostyl,,1
heterotachy,terotach,,1
heterotheca,terothec,,1
heterothermy,erotherm,,2
heterotic,heteroti,,1
heterotopy,eterotop,,1
heterotrophic,rotrophi,,2
heterotrophic bacteria, bacteri,,24
heterotrophic flagellates,agellate,s,4
heterotrophic metabolism,etabolis,,31
heterotrophic microbes, microbe,s,10
heterotrophic microbial communities,mmunitie,s,153
heterotrophic respiration,spiratio,,29
heterotrophic respiration-soil moisture relations,relation,s,36
heterotrophy,erotroph,,4
heterozygosity,ozygosit,,8
heterozygosity-fitness correlation,rrelatio,,58
heterozygosity-fitness relationships,tionship,s,76
heterozygosity&#8208,ity&#820,,3
heterozygote advantage,advantag,,25
heterozygote deficiency,eficienc,,5
heterozygote deficit,e defici,,3
heterozygote disadvantage,advantag,,25
heterozygote excess,te exces,s,1
heterozygote superiority,periorit,,4
heterozygous viability,viabilit,,21
heuchera,heucher,,1
heuchera grossulariifolia,ariifoli,,1
heuristic asynchronous discrete event simulation,imulatio,,25
heuristic model,tic mode,,16
heuristics,euristic,s,1
hevea brasiliensis,siliensi,s,5
hexagon satellite,satellit,,3
hexagonal fans,onal fan,s,1
hexanal,hexana,,1
hexapoda,hexapod,,1
hexastylis arifolia, arifoli,,1
hfc,hf,,1
hibernacula,bernacul,,1
hibernation,bernatio,,1
"hickory corners, michigan, usa","igan, us",,5
hidden bias,dden bia,s,1
hidden costs,den cost,s,1
hidden markov,en marko,,1
hidden markov chain model,ain mode,,5
hidden markov chains,ov chain,s,3
hidden markov model,kov mode,,4
hidden markov model (hmm),del (hmm,,1
hidden markov modelling,modellin,,45
hidden markov occupancy model,ncy mode,,11
hidden parameters,arameter,s,19
hidden players,n player,s,1
hidden preference,referenc,,57
hidden semi-markov models,ov model,s,2
hidden states,en state,s,1
hidden-state modelling,modellin,,45
hiding,hidin,,1
hiding strategy, strateg,,107
hieracium lepidulum,lepidulu,,1
hieracium pilosella,pilosell,,1
hierarchical,rarchica,,1
hierarchical analysis, analysi,s,397
hierarchical bayes,cal baye,s,2
hierarchical bayes: hurricanes,urricane,s,1
hierarchical bayesian, bayesia,,1
hierarchical bayesian analysis, analysi,s,397
hierarchical bayesian approach, approac,,32
hierarchical bayesian framework,framewor,,14
hierarchical bayesian models,an model,s,2
hierarchical bayesian time series,me serie,s,11
hierarchical causation,causatio,,5
hierarchical classification,ificatio,,174
hierarchical cluster analysis, analysi,s,397
hierarchical co-demographic modeling, modelin,,95
hierarchical community model (hcm),del (hcm,,1
hierarchical decisions,decision,s,11
hierarchical demography,emograph,,56
hierarchical effects,l effect,s,42
hierarchical environmental filter,al filte,,6
hierarchical f-statistics,tatistic,s,26
hierarchical facilitation,ilitatio,,31
hierarchical foraging, foragin,,49
hierarchical genetic structure,structur,,198
hierarchical habitat selection,selectio,,298
hierarchical levels,al level,s,2
hierarchical metric,al metri,,1
hierarchical mixed effects model,cts mode,,5
hierarchical model,cal mode,,23
hierarchical modeling, modelin,,95
hierarchical modeling of species communities,mmunitie,s,153
hierarchical multistate models,te model,s,6
hierarchical niches,al niche,s,2
hierarchical organization,anizatio,,23
hierarchical partitioning,titionin,,53
hierarchical partitioning of diversity,diversit,,255
hierarchical patch structure,structur,,198
hierarchical population,opulatio,,62
hierarchical predator foraging, foragin,,49
hierarchical processes,processe,s,93
hierarchical regression,egressio,,92
hierarchical response framework,framewor,,14
hierarchical riverine networks, network,s,61
hierarchical spatial analysis, analysi,s,397
hierarchical structure,structur,,198
hierarchically nested design,ed desig,,3
hierarchies,erarchie,s,7
hierarchy,hierarch,,22
hierarchy stability,stabilit,,59
hierarchy theory,hy theor,,2
hierarchy uncertainty,certaint,,20
hieronyma,hieronym,,1
hieronyma alchorneoides,orneoide,s,2
high,hig,,1
high altitude, altitud,,4
high altitude catfish,e catfis,,1
high andes,igh ande,s,1
high arctic,gh arcti,,1
high arctic wetland,c wetlan,,1
high complementarity behavior, behavio,,157
high conservation value (hcv),lue (hcv,,1
high elevation grassland,grasslan,,47
high latitude, latitud,,2
high mountains,mountain,s,36
high n deposition,epositio,,25
high plant productivity,ductivit,,69
high pressure flow meter (hpfm),er (hpfm,,1
high productivity,ductivit,,69
high tropical mountains,mountain,s,36
high-alpine ecosystems,cosystem,s,59
high-altitude adaptation,daptatio,,86
high-altitude forest,de fores,,1
high-arctic spitsbergen,itsberge,,1
high-dimensional phenotype space,ype spac,,2
high-dose,high-dos,,1
high-elevation conifer forests,r forest,s,4
high-elevation oak forest,ak fores,,4
high-frequency fires,ncy fire,s,1
high-frequency time series,me serie,s,11
high-latitude lakes,ude lake,s,1
high-latitude reefs,ude reef,s,1
high-montane meadow,ne meado,,3
high-mountain ecology,n ecolog,,40
high-mountain lakes,ain lake,s,4
high-p food,gh-p foo,,1
high-performance liquid chromatography,atograph,,2
high-performance liquid chromatography (hplc),hy (hplc,,1
high-resolution aerial digital photography,otograph,,10
high-resolution imagery,n imager,,1
high-resolution images,on image,s,1
high-stress environment,vironmen,,73
high-throughput movement ecology,t ecolog,,23
high-throughput sequencing,equencin,,25
high-value diversity areas,ity area,s,1
higher education,educatio,,7
higher order interaction,teractio,,133
higher order predation,predatio,,109
higher plant,her plan,,2
higher-order effect,er effec,,15
higher-order interactions,eraction,s,323
higher&#8208,her&#820,,1
highland grasslands,rassland,s,28
highland islands,d island,s,3
highland lake,land lak,,2
highland rocky savanna,y savann,,3
hightons genetic distance method,ce metho,,3
highway,highwa,,1
hill exponent, exponen,,5
hill numbers,l number,s,1
hill plots,ill plot,s,1
hill streams,l stream,s,2
hill-robertson effects,n effect,s,28
hill-robertson interference,erferenc,,34
hills diversity index,ity inde,,15
hillslope,hillslop,,1
hillsope hydrology,hydrolog,,11
hilltopping,lltoppin,,1
himalaya,himalay,,1
himalayan birds,yan bird,s,1
himalayan tahr,ayan tah,,1
himantopus mexicanus,mexicanu,s,9
himasthla rhigedana,rhigedan,,1
hind limb,hind lim,,1
hind-casting,d-castin,,1
hindgut fermenter,fermente,,1
hindrance,hindranc,,1
hipotesis del ascomiceto forrajero,forrajer,,1
hippoboscidae,oboscida,,1
hippodamia-variegata,variegat,,6
hippopotamus,popotamu,s,1
hippopotomine event,ine even,,1
hipposideridae,siderida,,1
hipposideros speoris,s speori,s,1
hipv,hip,,1
hipvs,hipv,s,1
hirec,hire,,1
hirtella physophora,hysophor,,1
hirundine,hirundin,,1
hirundinidae,undinida,,1
hirundo rustica,o rustic,,2
hirundo-pyrrhonota,yrrhonot,,2
his-c,his-,,1
hispaniola,ispaniol,,1
"hispaniola, resource opportunist",portunis,,2
hisparonia hystrix,a hystri,,2
hispinae,hispina,,1
hisse,hiss,,1
histological cross sections, section,s,1
histology,histolog,,1
histone h1,istone h,,1
historic climate data,mate dat,,2
historic interactions,eraction,s,323
historic legacy,ic legac,,2
historic range of variability,riabilit,,81
historic vegetation studies,n studie,s,2
historic virus,ric viru,s,1
historical,istorica,,1
historical analogues,analogue,s,2
historical anthropogenic impacts,c impact,s,2
historical baselines,baseline,s,5
historical biogeography,geograph,,41
historical changes,l change,s,10
historical climate,l climat,,3
historical collections,llection,s,8
historical constraints,nstraint,s,33
historical constraints on species distribution,tributio,,232
historical contingency,ntingenc,,4
historical data,ical dat,,5
historical demography,emograph,,56
historical development,velopmen,,95
historical dispersal,dispersa,,174
historical disturbance,sturbanc,,66
historical dna analysis, analysi,s,397
historical ecology,l ecolog,,48
historical effects,l effect,s,42
historical factors,l factor,s,9
historical flora,cal flor,,4
historical forest fragmentation,mentatio,,58
historical gene flow,gene flo,,14
historical geography,geograph,,41
historical inference,inferenc,,17
historical isolation,isolatio,,55
historical legacies, legacie,s,6
historical legacy,al legac,,4
historical map,rical ma,,1
historical migration,migratio,,78
historical patterns of gene flow,gene flo,,14
historical perspective,rspectiv,,2
historical plant ecology,t ecolog,,23
historical processes,processe,s,93
historical records,l record,s,2
historical resurvey, resurve,,2
historical roots,cal root,s,1
historical vegetation change,on chang,,11
historicalfire regime,re regim,,3
history,histor,,1
history and community structure,structur,,198
history covariation,variatio,,240
history evolution,evolutio,,298
history of coexistence,existenc,,40
history of ecology,f ecolog,,4
history of science,f scienc,,3
history strategy, strateg,,107
history theory,ry theor,,5
history trade&#8208,ade&#820,,6
history traits,ry trait,s,10
histosols,histosol,s,1
hitchhiking,tchhikin,,6
hitchhiking behavior, behavio,,157
hitchhiking mapping,g mappin,,1
hitchhiking nematodes,nematode,s,10
hiv,hi,,1
hiv-1,hiv-,,1
hiv-1 infection,infectio,,37
hla,hl,,1
hla loci,hla loc,,1
hluhluwe-imfolozi park,lozi par,,2
hluhluwe&#8208,uwe&#820,,1
hmsc,hms,,1
hoard&#8208,ard&#820,,1
hoarding,hoardin,,1
hoarding behaviour,behaviou,,43
hobo temperature data loggers,a logger,s,1
hochberg-hawkins model,ins mode,,2
hoffmannia vesciculifera,iculifer,,1
hoffmannii,offmanni,,1
"hog island, virginia, usa","inia, us",,5
hogna,hogn,,1
hogna helluo,na hellu,,1
hokkaido,hokkaid,,1
hokkaido (japan),o (japan,,1
hokkaido island,do islan,,1
holarctic,holarcti,,1
holbrookia maculata, maculat,,7
holcus lanatus,s lanatu,s,1
holcus lanatus (yorkshire fog),hire fog,,1
holdridge life zones,ife zone,s,2
hole,hol,,1
hole nesters,e nester,s,1
holey adaptive landscapes,andscape,s,29
holism,holis,,1
holling mechanistic,chanisti,,2
holling type 2 functional response, respons,,110
holling type ii model, ii mode,,1
hollings disc equation, equatio,,31
hollow tree,llow tre,,3
hollows,hollow,s,1
holly leaf-miner,eaf-mine,,1
holm oak,holm oa,,1
holo-epiphyte,-epiphyt,,1
holobenthic,lobenthi,,1
holobiont,holobion,,1
holocarpha virgata,a virgat,,4
holocene,holocen,,1
holocene climate,e climat,,6
holocene climate change and vegetation effects,n effect,s,28
holocene extinction,xtinctio,,41
holocene fire history,e histor,,33
holocene palaeoecology,eoecolog,,3
holocene sea-level changes,l change,s,10
holocene vegetation patterns, pattern,s,106
holocentric chromosomes,romosome,s,8
holokinetic chromosomes,romosome,s,8
holokinetic drive,tic driv,,4
holometabolous,etabolou,s,1
holometabolous insects,s insect,s,6
holoparasites,parasite,s,21
holopedium,olopediu,,1
holopneustes purpurascens,purascen,s,3
holospora,holospor,,1
holospora undulata, undulat,,3
holothurian,lothuria,,1
holothuroid,lothuroi,,1
homalictus fijiensis,fijiensi,s,1
homarus americanus,mericanu,s,16
hombills,hombill,s,1
home,hom,,2
home advantage,advantag,,25
home effect,me effec,,2
home field advantage,advantag,,25
home range,ome rang,,3
home range analysis, analysi,s,397
home range area,ange are,,1
home range boundaries,oundarie,s,18
home range estimation,stimatio,,56
home range models,ge model,s,4
home range overlap,e overla,,9
home range quality,e qualit,,18
home range size,ange siz,,10
home versus away,rsus awa,,1
home-away effect,ay effec,,1
home-site advantage,advantag,,25
home-versus-away comparison,ompariso,,35
home&#8208,ome&#820,,1
homeostasis,meostasi,s,6
homeothermy,meotherm,,1
homeotic effects,c effect,s,42
homeoviscous longevity adaptation hypothesis,ypothesi,s,335
homestead,homestea,,1
homing,homin,,1
homing endonuclease,onucleas,,2
hominin,homini,,1
hominin evolution,evolutio,,298
hominoid,hominoi,,1
hominoidea,ominoide,,1
homo,hom,,2
homo erectus,o erectu,s,1
homo floresiensis,resiensi,s,1
homo habilis,o habili,s,1
homo sapiens,o sapien,s,1
homochirality,chiralit,,3
homogamy,homogam,,1
homogeneity,mogeneit,,1
homogeneity cost,eity cos,,1
homogeneous,mogeneou,s,1
homogeneous environment,vironmen,,73
homogeneous populations,pulation,s,93
homogenization,enizatio,,5
homogeocene,mogeocen,,1
homology,homolog,,1
homophily,homophil,,1
homoplasy,homoplas,,2
homoploid,homoploi,,1
homoploid hybrid speciation,peciatio,,53
homoploid speciation,peciatio,,53
homoptera,homopter,,1
homopterams,mopteram,s,1
homosexual mating,al matin,,2
homostyly,homostyl,,2
homozygosity,ozygosit,,8
homozygous viability,viabilit,,21
honduras,hondura,s,1
honest advertisement,rtisemen,,4
honest communication,unicatio,,24
honest signal,st signa,,1
honest signaling,signalin,,19
honesty,honest,,1
honey,hone,,1
honeybee,honeybe,,1
honey consumption,nsumptio,,25
honeydew,honeyde,,1
honeydew sugars,ew sugar,s,1
honeyeater,oneyeate,,3
honeyguide,oneyguid,,1
honeypot ants,ypot ant,s,1
hong kong,hong kon,,1
hookeriales,okeriale,s,1
hoolock gibbon,ck gibbo,,1
hoolock hoolock,k hooloc,,1
hop,ho,,1
hope river valley,er valle,,1
hopea,hope,,1
hopkins host selection principle,principl,,20
hoplias,hoplia,s,1
hoplias malabaricus,labaricu,s,2
hopliini,hopliin,,1
hoplocephalus bungaroides,ngaroide,s,1
hoplochaithropsus quercicola,uercicol,,1
hoplotermes,ploterme,s,1
hordenine,hordenin,,1
hordeum spontaneum,pontaneu,,2
hordeum vulgare,m vulgar,,4
horizontal biodiversity effects,y effect,s,26
horizontal exchange, exchang,,26
horizontal gene transfer, transfe,,32
horizontal heterogeneity,rogeneit,,73
horizontal light heterogeneity,rogeneit,,73
horizontal transfer, transfe,,32
horizontal transmission,nsmissio,,42
hormathophylla spinosa,a spinos,,1
hormesis,hormesi,s,1
hormonal changes,l change,s,10
hormonal constraint,onstrain,,30
hormonal mechanism,mechanis,,24
hormonal plasticity,lasticit,,75
hormonal pleiotropy,leiotrop,,8
hormone,hormon,,1
hormosira banksii,a banksi,,1
horn growth,rn growt,,1
horn index,orn inde,,2
horn length,rn lengt,,1
horn snail,orn snai,,1
hornbeam,hornbea,,1
hornbills,hornbill,s,1
horne range,rne rang,,1
horned beetle,ed beetl,,2
horned lark (eremophila alpestris),lpestris,,1
horner-mclaughlin woods,lin wood,s,1
hornet,horne,,1
"hornoya, norway","a, norwa",,1
horns,horn,s,1
hornstedtia,rnstedti,,1
hornworm,hornwor,,1
horonai stream,ai strea,,1
horse mussels,e mussel,s,3
horsenettle,rsenettl,,1
horseshoe crab eggs,crab egg,s,1
horsetail,horsetai,,1
horsfieldia,rsfieldi,,1
horsfieldia kingii,ia kingi,,1
horticulture,ticultur,,1
hospitalitermes,aliterme,s,1
host,hos,,1
host abundance,abundanc,,78
host acceptance,cceptanc,,4
host adaptation,daptatio,,86
host affinity, affinit,,4
host age,host ag,,1
host alternation,ternatio,,4
host architecture,hitectur,,32
host assimilate allocation,llocatio,,61
host associations,ociation,s,26
host avoidance,avoidanc,,34
host background effects,d effect,s,18
host behavior, behavio,,157
host bias,host bia,s,1
host characteristics,teristic,s,30
host choice,st choic,,3
host colonization,onizatio,,45
host compatibility,atibilit,,42
host competence,ompetenc,,8
host composition,mpositio,,129
host condition,conditio,,29
host condition vs. flea density,a densit,,2
host defense(s),efense(s,,10
host density,t densit,,9
host development,velopmen,,95
host developmental tempo,tal temp,,1
host discrimination,iminatio,,22
host dispersal,dispersa,,174
host distribution,tributio,,232
host diversification,ificatio,,174
host diversity,diversit,,255
host evolution,evolutio,,298
host exploitation,loitatio,,20
host extinction,xtinctio,,41
host feeding,t feedin,,5
host fidelity, fidelit,,17
host fitness,t fitnes,s,12
host genetic background,ackgroun,,4
host genotype, genotyp,,4
host gum exudate,m exudat,,1
host handling, handlin,,5
host heterogeneity,rogeneit,,73
host hybridization,idizatio,,26
host immunity, immunit,,23
host interaction,teractio,,133
host larval feeding site,ding sit,,1
host life span,life spa,,10
host limitation,imitatio,,105
host localization,alizatio,,101
host location, locatio,,7
host loss,host los,s,1
host manipulation,ipulatio,,47
host microenvironment,vironmen,,73
host modification,ificatio,,174
host mortality,mortalit,,122
host ontogeny, ontogen,,9
host parasite, parasit,,15
host-parasite relationships,tionship,s,76
host parasitoid,arasitoi,,17
host parasitoid dynamics, dynamic,s,330
host parasitoid interactions,eraction,s,323
host pathogen, pathoge,,21
host pathogen coevolution,evolutio,,298
host pathogen dynamics, dynamic,s,330
host pathogen interactions,eraction,s,323
host phenology,phenolog,,48
host phenotype,phenotyp,,25
host phylogenetic clustering,lusterin,,19
host plant,ost plan,,3
host plant abundance,abundanc,,78
host plant adaptation,daptatio,,86
host plant age,plant ag,,1
host plant availability,ilabilit,,71
host plant choice,nt choic,,2
host plant defoliation,foliatio,,8
host plant deterioration,rioratio,,6
host plant discrimination,iminatio,,22
host plant effects,t effect,s,37
host plant phylogeny,phylogen,,21
host plant preference,referenc,,57
host plant quality,t qualit,,13
host plant resistance,esistanc,,97
host plant selection,selectio,,298
host plant specialization,alizatio,,101
host plant specificity,ecificit,,27
host plant toxins,nt toxin,s,2
host plant use,plant us,,2
host plant variability,riabilit,,81
host plant variation,variatio,,240
host plant volatiles,volatile,s,9
host plant-mediated interactions,eraction,s,323
host population growth rate,owth rat,,39
host population regulation,egulatio,,60
host population threshold,threshol,,31
host preference,referenc,,57
host productivity,ductivit,,69
host quality,t qualit,,13
host race formation,formatio,,69
host races,ost race,s,1
host range,ost rang,,3
host range and cryptic species,c specie,s,19
host range evolution,evolutio,,298
host range expansion,expansio,,27
host recognition,cognitio,,35
host regulation,egulatio,,60
host resistance,esistanc,,97
host resistance evolution,evolutio,,298
host response, respons,,110
host sanctions,sanction,s,3
host searching,searchin,,6
host seeking,t seekin,,1
host selection,selectio,,298
host sex,host se,,1
host shift,ost shif,,1
host shifting, shiftin,,3
host sire,host sir,,1
host social organization,anizatio,,23
host social system,al syste,,9
host specialism,pecialis,,10
host specialization,alizatio,,101
host species,t specie,s,44
host species richness, richnes,s,85
host specific, specifi,,1
host specificity,ecificit,,27
host specificity hummingbirds,mingbird,s,5
host structure,structur,,198
host suitability,itabilit,,25
host suppression,ppressio,,21
host survival, surviva,,85
host switch,st switc,,1
host switching,switchin,,14
host taxonomic distance, distanc,,62
host threshold density,d densit,,10
host tracking, trackin,,23
host trait,ost trai,,1
host tree,host tre,,1
host tree preference,referenc,,57
host tree species,e specie,s,54
host tree specificity,ecificit,,27
host use,host us,,1
host utilization,ilizatio,,75
host utilization trade-off,trade-of,,73
host-associated differentiation,entiatio,,40
host-associated divergence,ivergenc,,55
host-associated fitness,d fitnes,s,8
host-associated microbes, microbe,s,10
host-cowbird relationships,tionship,s,76
host-generalist,eneralis,,8
host-microbe interactions,eraction,s,323
host-microbiota,icrobiot,,6
host-mistletoe interaction network,n networ,,9
host-multiparasitoid interactions,eraction,s,323
host-parasite association,sociatio,,34
host-parasite codiversification,ificatio,,174
host-parasite coevolution,evolutio,,298
host-parasite contact,e contac,,1
host-parasite cooperation,operatio,,9
host-parasite dynamics, dynamic,s,330
host-parasite ecology,e ecolog,,41
host-parasite evolution,evolutio,,298
host-parasite interactions,eraction,s,323
host-parasite network,e networ,,6
host-parasite relatedness,latednes,s,11
host-parasite systems,e system,s,9
host-parasitoid assemblage,ssemblag,,25
host-parasitoid associations,ociation,s,26
host-parasitoid coevolution,evolutio,,298
host-parasitoid model,oid mode,,2
host-parasitoid population dynamics, dynamic,s,330
host-parasitoid system,id syste,,2
host-pathogen coexistence,existenc,,40
host-pathogen evolution,evolutio,,298
host-pathogen metapopulation,opulatio,,62
host-pathogen relationships,tionship,s,76
host-plant communities,mmunitie,s,153
host-plant location, locatio,,7
host-plant manipulation,ipulatio,,47
host-plant nitrogen, nitroge,,38
host-plant range,ant rang,,1
host-plant richness, richnes,s,85
host-plant species,t specie,s,44
host-range evolution and specialization,alizatio,,101
host-specialist,pecialis,,10
host-specific mating,ic matin,,3
host-specific mutualism,mutualis,,62
host-specific selection,selectio,,298
host-symbiont dynamics, dynamic,s,330
